"dept_no","dept_name","emp_no","first_name","last_name"
"d007","Sales",10002,"Bezalel","Simmel"
"d007","Sales",10016,"Kazuhito","Cappelletti"
"d007","Sales",10034,"Bader","Swan"
"d007","Sales",10041,"Uri","Lenart"
"d007","Sales",10050,"Yinghua","Dredge"
"d007","Sales",10053,"Sanjiv","Zschoche"
"d007","Sales",10060,"Breannda","Billingsley"
"d007","Sales",10061,"Tse","Herber"
"d007","Sales",10068,"Charlene","Brattka"
"d007","Sales",10087,"Xinglin","Eugenio"
"d007","Sales",10088,"Jungsoon","Syrzycki"
"d007","Sales",10089,"Sudharsan","Flasterstein"
"d007","Sales",10093,"Sailaja","Desikan"
"d007","Sales",10095,"Hilari","Morton"
"d007","Sales",10099,"Valter","Sullins"
"d007","Sales",10101,"Perla","Heyers"
"d007","Sales",10107,"Dung","Baca"
"d007","Sales",10125,"Syozo","Hiltgen"
"d007","Sales",10136,"Zissis","Pintelas"
"d007","Sales",10148,"Douadi","Azumi"
"d007","Sales",10149,"Xiadong","Perry"
"d007","Sales",10151,"Itzchak","Lichtner"
"d007","Sales",10160,"Debatosh","Khasidashvili"
"d007","Sales",10178,"Valery","Litvinov"
"d007","Sales",10185,"Duro","Sidhu"
"d007","Sales",10199,"Kazuhisa","Ranta"
"d007","Sales",10209,"Yolla","Ellozy"
"d007","Sales",10214,"Tadahiko","Ciolek"
"d007","Sales",10215,"Xiaobin","Duclos"
"d007","Sales",10226,"Xinglin","Plessier"
"d007","Sales",10228,"Karoline","Cesareni"
"d007","Sales",10232,"Marko","Auria"
"d007","Sales",10234,"Arunachalam","Bakhtari"
"d007","Sales",10236,"Susumu","Bade"
"d007","Sales",10237,"Yannis","Mandell"
"d007","Sales",10243,"Wonhee","Pouyioutas"
"d007","Sales",10248,"Frederique","Tempesti"
"d007","Sales",10253,"Zsolt","Salinas"
"d007","Sales",10254,"Shen","Brattka"
"d007","Sales",10256,"Irene","Radhakrishnan"
"d007","Sales",10262,"Mahendra","Maraist"
"d007","Sales",10270,"Bedir","Hartvigsen"
"d007","Sales",10273,"Baocai","Lieblein"
"d007","Sales",10277,"Isaac","Schwartzbauer"
"d007","Sales",10291,"Dipayan","Seghrouchni"
"d007","Sales",10292,"Yucel","Ghelli"
"d007","Sales",10296,"Petter","Lorho"
"d007","Sales",10299,"Ipke","Stentiford"
"d007","Sales",10302,"Faiza","Baer"
"d007","Sales",10304,"Bernt","Erie"
"d007","Sales",10306,"Heng","Kilgour"
"d007","Sales",10308,"Dzung","Holburn"
"d007","Sales",10314,"Christfried","Apsitis"
"d007","Sales",10319,"Mechthild","Miyakawa"
"d007","Sales",10320,"Uinam","Stasinski"
"d007","Sales",10321,"Guenter","Ravishankar"
"d007","Sales",10330,"Kasturi","Bellmore"
"d007","Sales",10331,"Arto","Binkley"
"d007","Sales",10335,"Toshimori","Bahi"
"d007","Sales",10346,"Aamod","Radwan"
"d007","Sales",10355,"Satyanarayana","Cochrane"
"d007","Sales",10361,"Seshu","Sidou"
"d007","Sales",10369,"Qunsheng","Toyoshima"
"d007","Sales",10370,"Clyde","Fandrianto"
"d007","Sales",10374,"Willard","Rosin"
"d007","Sales",10375,"Dante","Kalafatis"
"d007","Sales",10378,"Takahira","Lichtner"
"d007","Sales",10380,"Alejandro","Kamble"
"d007","Sales",10388,"Hironoby","Kaiser"
"d007","Sales",10398,"Shooichi","Escriba"
"d007","Sales",10399,"Guenter","Marchegay"
"d007","Sales",10400,"Ortrud","Nitto"
"d007","Sales",10403,"Atreyi","Mungall"
"d007","Sales",10407,"Ulf","Siepmann"
"d007","Sales",10408,"Martijn","Kaiser"
"d007","Sales",10410,"Takahito","Gecsei"
"d007","Sales",10411,"Lidong","Klerer"
"d007","Sales",10417,"Bingning","Bakhtari"
"d007","Sales",10427,"Khosrow","Sudbeck"
"d007","Sales",10431,"Patricio","Bugrara"
"d007","Sales",10442,"Volkmar","Unno"
"d007","Sales",10444,"Kazuhira","Rosis"
"d007","Sales",10448,"Phule","Oxenboll"
"d007","Sales",10449,"Aleksandar","Sudkamp"
"d007","Sales",10454,"Wonhee","Badr"
"d007","Sales",10455,"Sverrir","Streng"
"d007","Sales",10458,"Gina","Engelmann"
"d007","Sales",10461,"Gal","Karcich"
"d007","Sales",10463,"Ung","Zaiane"
"d007","Sales",10468,"Yoshimitsu","Shobatake"
"d007","Sales",10472,"Salvador","Lodder"
"d007","Sales",10490,"Huiqun","Vuskovic"
"d007","Sales",10493,"Maris","Haraldson"
"d007","Sales",10499,"Maik","Luft"
"d007","Sales",10504,"Xiong","Varker"
"d007","Sales",10505,"Isamu","Auria"
"d007","Sales",10509,"Abdelwaheb","Riesenhuber"
"d007","Sales",10510,"Keung","Slobodova"
"d007","Sales",10515,"Raimond","Kirkerud"
"d007","Sales",10517,"Tiina","Speek"
"d007","Sales",10521,"Kwangsub","Setia"
"d007","Sales",10525,"Yuchang","Lunt"
"d007","Sales",10532,"Mary","Wossner"
"d007","Sales",10533,"Mohamadou","Smailagic"
"d007","Sales",10536,"Yechiam","Sambasivam"
"d007","Sales",10537,"Stella","Benzmuller"
"d007","Sales",10539,"Yucel","Reinhard"
"d007","Sales",10541,"Godehard","Eiter"
"d007","Sales",10548,"Ramalingam","Gunderson"
"d007","Sales",10555,"Vitaly","Picci"
"d007","Sales",10559,"Arumugam","Comellas"
"d007","Sales",10561,"Serge","Joslin"
"d007","Sales",10567,"Dietrich","Journel"
"d007","Sales",10568,"Gao","Poulakidas"
"d007","Sales",10570,"Alassane","Morrin"
"d007","Sales",10573,"Tetsushi","Speel"
"d007","Sales",10592,"Almudena","Alvarado"
"d007","Sales",10596,"Sanjit","Coors"
"d007","Sales",10597,"Lucien","Schaad"
"d007","Sales",10600,"Emran","Rettelbach"
"d007","Sales",10603,"Wayne","Restivo"
"d007","Sales",10616,"Tommaso","Marwedel"
"d007","Sales",10619,"Vivian","Kusakabe"
"d007","Sales",10629,"Lalit","Francisci"
"d007","Sales",10633,"Sorina","Herber"
"d007","Sales",10637,"Heejo","Frolund"
"d007","Sales",10638,"Jenwei","Borovoy"
"d007","Sales",10640,"Anneke","Meszaros"
"d007","Sales",10644,"Pranas","Benaini"
"d007","Sales",10655,"Remko","Dalton"
"d007","Sales",10670,"Shunichi","McAffer"
"d007","Sales",10681,"Florina","Garnier"
"d007","Sales",10692,"Larisa","Bage"
"d007","Sales",10701,"Hyuncheol","Zolotykh"
"d007","Sales",10705,"Hironobu","Wynblatt"
"d007","Sales",10710,"Sorina","Kermarrec"
"d007","Sales",10725,"Garnet","Isard"
"d007","Sales",10744,"Yaghout","Syang"
"d007","Sales",10754,"Chenyi","Feinberg"
"d007","Sales",10765,"Goetz","Norsworthy"
"d007","Sales",10767,"Monique","Doering"
"d007","Sales",10770,"Bedir","Perry"
"d007","Sales",10788,"Frazer","Ullian"
"d007","Sales",10795,"Supot","Naudin"
"d007","Sales",10804,"Terresa","Benantar"
"d007","Sales",10807,"Munehiro","Zallocco"
"d007","Sales",10810,"Lijie","Lunn"
"d007","Sales",10813,"Shalesh","Shumilov"
"d007","Sales",10814,"Nidapan","Dymetman"
"d007","Sales",10817,"Uri","Rullman"
"d007","Sales",10828,"Godehard","Gammage"
"d007","Sales",10832,"Hidde","Bergere"
"d007","Sales",10836,"Jianhua","Leivant"
"d007","Sales",10837,"Chuanti","Karlin"
"d007","Sales",10855,"Kwangho","Reinhart"
"d007","Sales",10857,"Fusako","Stenning"
"d007","Sales",10862,"Zhenbing","Kadhim"
"d007","Sales",10864,"Elliott","Spieker"
"d007","Sales",10865,"Danco","Etalle"
"d007","Sales",10876,"Vincent","Papastamatiou"
"d007","Sales",10878,"Lakshmi","Deville"
"d007","Sales",10885,"Rayond","Cronau"
"d007","Sales",10889,"Cheong","Coors"
"d007","Sales",10890,"Ramzi","Furudate"
"d007","Sales",10895,"Vishwani","Petersohn"
"d007","Sales",10897,"Arno","Kumaresan"
"d007","Sales",10906,"Munehiro","Carrere"
"d007","Sales",10914,"Mizuhito","Prochazka"
"d007","Sales",10922,"Kyoichi","Wossner"
"d007","Sales",10923,"Younwoo","Maquelin"
"d007","Sales",10924,"Hironoby","Atchley"
"d007","Sales",10953,"Jahangir","Laventhal"
"d007","Sales",10955,"Urs","Danley"
"d007","Sales",10957,"Duke","Schnabel"
"d007","Sales",10959,"Kerryn","Vigier"
"d007","Sales",10960,"Billur","Braunschweig"
"d007","Sales",10962,"Naraig","Kugler"
"d007","Sales",10965,"Eckart","Braunschweig"
"d007","Sales",10968,"Lakshmi","Kolinko"
"d007","Sales",10977,"Toong","Murrill"
"d007","Sales",10981,"Sugwoo","Dulin"
"d007","Sales",10996,"Matk","Rahimi"
"d007","Sales",10998,"Marlo","Kandlur"
"d007","Sales",11002,"Bluma","Ulupinar"
"d007","Sales",11008,"Gennady","Menhoudj"
"d007","Sales",11009,"Alper","Axelband"
"d007","Sales",11015,"Jeanna","Riesenhuber"
"d007","Sales",11022,"Apostol","Pintelas"
"d007","Sales",11023,"Yifei","Driscoll"
"d007","Sales",11024,"Manton","Collavizza"
"d007","Sales",11029,"Georgi","Itzfeldt"
"d007","Sales",11030,"Kwan","Hellwagner"
"d007","Sales",11044,"Elvia","Cherinka"
"d007","Sales",11048,"Jaques","Demke"
"d007","Sales",11049,"Gift","Apsitis"
"d007","Sales",11055,"Shaleah","Neiman"
"d007","Sales",11056,"Palash","Speel"
